name,date,value,category
A Athanaze ,1982-12-31,0,WI
A Bagai ,1982-12-31,0,CAN
A Balbirnie ,1982-12-31,0,IRE
A Bhandari ,1982-12-31,0,IND
A Bohara ,1982-12-31,0,NEP
A Codrington ,1982-12-31,0,CAN
A Dananjaya ,1982-12-31,0,SL
A Dutt ,1982-12-31,0,NED
A Flintoff ,1982-12-31,0,ENG
A Flower ,1982-12-31,0,ZIM
A Jadeja ,1982-12-31,0,IND
A Johnson ,1982-12-31,0,CAN
A Kumble ,1982-12-31,0,IND
A Kuruvilla ,1982-12-31,0,IND
A Maregwede ,1982-12-31,0,ZIM
A Martin ,1982-12-31,0,WI
A McGrath ,1982-12-31,0,ENG
A Mishra ,1982-12-31,0,IND
A Mithun ,1982-12-31,0,IND
A Nao ,1982-12-31,0,PNG
A Ndlovu ,1982-12-31,0,ZIM
A Nehra ,1982-12-31,0,IND
A Neill ,1982-12-31,0,SCOT
A Nel ,1982-12-31,0,SA
A Nortje ,1982-12-31,0,SA
A Patel ,1982-12-31,0,CAN
A Phillip ,1982-12-31,0,WI
A Ranatunga ,1982-12-31,68,SL
A Ratra ,1982-12-31,0,IND
A Saud ,1982-12-31,0,NEP
A Shahzad ,1982-12-31,0,ENG
A Shamshudeen ,1982-12-31,0,CAN
A Sharafu ,1982-12-31,0,UAE
A Sharma ,1982-12-31,0,UAE
A Symonds ,1982-12-31,0,AUS
A Turner ,1982-12-31,0,AUS
A Vala ,1982-12-31,0,PNG
A van der Merwe ,1982-12-31,0,IRE
A Zampa ,1982-12-31,0,AUS
AA Donald ,1982-12-31,0,SA
AA Mallett ,1982-12-31,0,AUS
AA Mulla ,1982-12-31,0,CAN
AA Noffke ,1982-12-31,0,AUS
AA Obanda ,1982-12-31,0,KENYA
AA Paradkar ,1982-12-31,0,USA
AA Shafique ,1982-12-31,0,OMA
Aamer Hameed ,1982-12-31,0,PAK
Aamer Hanif ,1982-12-31,0,PAK
Aamer Malik ,1982-12-31,0,PAK
Aamer Nazir ,1982-12-31,0,PAK
Aamer Sohail ,1982-12-31,0,PAK
Aamer Yamin ,1982-12-31,0,PAK
Aamir Kaleem ,1982-12-31,0,OMA
AAP Atkinson ,1982-12-31,0,ENG
Aaqib Javed ,1982-12-31,0,PAK
Aarif Sheikh ,1982-12-31,0,NEP
Aaron Jones ,1982-12-31,0,USA
Aasif Sheikh ,1982-12-31,0,NEP
AAW Gunawardena ,1982-12-31,0,SL
Aayan Afzal Khan ,1982-12-31,0,UAE
AB Agarkar ,1982-12-31,0,IND
AB Barath ,1982-12-31,0,WI
AB de Villiers ,1982-12-31,0,SA
AB Dinda ,1982-12-31,0,IND
Abdul Jabbar ,1982-12-31,0,CAN
Abdul Qadir ,1982-12-31,0,PAK
Abdul Rahman ,1982-12-31,0,AFG
Abdul Razzaq ,1982-12-31,0,PAK
Abdul Rehman ,1982-12-31,0,UAE
Abdul Shakoor ,1982-12-31,0,UAE
Abdullah Mazari ,1982-12-31,0,AFG
Abdullah Shafique ,1982-12-31,0,PAK
Abdur Rauf ,1982-12-31,0,PAK
Abdur Razzak ,1982-12-31,0,BAN
Abdur Rehman ,1982-12-31,0,PAK
Abid Ali ,1982-12-31,0,PAK
Abu Hider ,1982-12-31,0,BAN
Abu Jayed ,1982-12-31,0,BAN
Abul Hasan ,1982-12-31,0,BAN
AC Agar ,1982-12-31,0,AUS
AC Bedade ,1982-12-31,0,IND
